"","happy_about_locality_mean","safety_level_locality_mean","recreation_areas_locality_mean","public_transfer_locality_4","touristic_popularity","wikipedia_area","wikipedia_nr_of_people","wikipedia_city_rights_since","DOCHODY_BUDZETOW_MIAST.Dochody_ogolem","DOCHODY_BUDZETOW_MIAST.Dochody_majatkowe_ogolem","DOCHODY_BUDZETOW_MIAST.Dochody_na_mieszkanca_ogolem","DOCHODY_BUDZETOW_MIAST.Dochody_wg_kat_budzetu_Dzial_600_Transport_i_lacznosc","DOCHODY_BUDZETOW_MIAST.Dochody_wg_kat_budzetu_Dzial_803_Szkolnictwo_wyzsze","DOCHODY_BUDZETOW_MIAST.Dotacje_ogolem","Domy_i_osrodki_kultury.ogolem","Imprezy_masowe.liczba_imprez_ogolem","Imprezy_masowe.liczba_imprez_sportowe","KINA.Liczba_ludnosci_na_miejsce_w_kinach_stalych","KOMUNIKACJA_MIEJSKA.dlugosc_bus_pasow","MUZEA.Muzea_w_gestii_samorzadu_muzea_lacznie_z_oddzialami","SCIEZKI_ROWEROWE.sciezki_rowerowe_(drogi_dla_rowerow)_ogolem","TARGOWISKA.Targowiska_sezonowe","TARGOWISKA.Targowiska_stale","TURYSTYCZNE_OBIEKTY.obiekty_ogolem_hotele_kategorii_*****","TURYSTYCZNE_OBIEKTY.obiekty_ogolem_hotele_kategorii_***","accommodations_per1k_given"
"24",4.72911462828773,4.47785863208949,3.89782916506103,0.42651618786192,3283.59299613403,326.85,771069,1228,5307143311.36,206185688.28,6896.89,396270144,0,842850457.88,58,265,152,55,28.6,25,213.7,1041,15,11,81,7250.54
"25",4.60149391679476,4.72459342074535,3.99619867528696,0.374922472077862,214.919420795011,43.5,46600,1348,325813713.56,25934410.6,7001.93,3725598.15,0,93891440.96,2,46,39,30,0,1,21.2,13,1,0,1,1192.23
"26",4.48073004800003,4.41416863957656,4.25158168493313,0.330754617996604,239.004885027686,56.29,99752,1252,547462727.2,26880621.28,5470.2,10145940.09,0,128887504.61,3,28,18,75,0,1,33.3,0,4,0,6,1591.54
"27",4.47389384121186,4.62687613451766,4.0043392211008,0.347134502848524,109.742524846728,31.86,64468,1547,55018006.51,1627973.79,5426.91,460173.88,0,11666563.58,4,70,64,0,0,1,0.4,0,1,0,1,269.36
"28",4.48293994835906,4.51989418996044,4.02318192592958,0.354453808783147,767.515823298364,293.25,685285,1423,4076467290.05,227597773.96,5927.67,233957170.92,0,816767630.41,22,186,120,95,24.7,9,158.3,3,31,0,15,1695.99
"29",4.20133036111117,4.68586994707167,3.18805311443865,0.428300668482684,NA,32.67,62716,1418,386730250.15,43473966.31,6129.92,30406743.5,0,126002789.3,2,9,4,185,0,1,34.2,2,2,0,1,521.96
"30",4.33960539615807,4.57211502499182,3.84700067594929,0.406293169910442,581.498167032062,147.47,339682,1317,2241907783.26,304217407.29,6597.51,359906653.4,0,687992602.09,16,140,103,61,3.8,0,140,124,13,1,21,1587.54
"31",4.46857422528159,4.19732661492565,3.92500506885686,0.407219283077483,375.081679420765,65.62,74647,1360,362686554.27,7660461.82,4863.18,1321056.01,0,84646426.57,9,7,2,138,0,1,0.9,10,2,0,0,0
"32",4.89307653044279,4.77157835096786,4.21159813332283,0.37028202288889,195.22633149761,57.58,84041,1292,634875814.85,91071105.55,7561.83,52523495.56,0,207419709.06,4,19,12,46,0,0,15.6,7,3,0,3,813
"33",4.29159788102761,4.47836778819089,3.95870490956598,0.393132509667158,425.242976647201,88.33,173125,1353,1200980666.45,160375265.8,6937.07,116183290.33,0,323668472.03,7,88,40,52,13.3,0,87,4,4,0,5,2028.99
"34",4.51608389428792,4.54656828290716,3.77398250459758,0.348958169710825,344.882633899746,148.88,128140,1217,987197721.43,120799678.38,7699.01,113375039.24,285017.43,245828484.74,6,130,82,89,0.2,1,90.1,100,3,0,11,1530.92
